%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1718208080465890799,-0.0148741730406013,-0.0142375908533789,0.002526045882198,-0.1515889879771775,0.1242628566281526,-0.1055675405725087
1718208080466962035,-0.0145901341829132,-0.0140428605864781,0.0028554514616476,-0.1509733970818636,0.1241531667040801,-0.1053062583995898
1718208080468119063,-0.0141715189901,-0.013758769273,0.0033684788273225,-0.1504201222740985,0.1246099084352589,-0.1055934164718118
1718208080469304977,-0.0135026553996023,-0.013387382050895,0.0038059100960908,-0.1503433368430768,0.1253797481046377,-0.1056227816369836
1718208080470449031,-0.0132198388418792,-0.013194113527731,0.0041666210675064,-0.1498450012973233,0.1252018219216887,-0.1054127784464658
1718208080471708380,-0.0127674220387289,-0.0129554164971333,0.0047471743465281,-0.1492153768134975,0.1255747175973982,-0.1055771527739364
1718208080471754137,-0.012383935010414,-0.0128156503189088,0.0054995591861855,-0.1483359068050111,0.1264487799783357,-0.1054376335404926
1718208080472925325,-0.0121160385769634,-0.012663469572548,0.0063467759710633,-0.1472254810739977,0.126911355685989,-0.1046648692085242
1718208080474123571,-0.011832137075748,-0.0123173723966377,0.0068352796717631,-0.1471163534995785,0.1266208507297316,-0.1040402722062323
1718208080475345339,-0.0115342030092648,-0.0119133498654637,0.0072960193762192,-0.1468971597205187,0.1262669961757261,-0.1040181108139254
1718208080476593209,-0.0110889470395307,-0.0117234217097588,0.0082180192333772,-0.1452370396667296,0.126687411456609,-0.1039988526875578
1718208080476604340,-0.0106157647649454,-0.0116037921155206,0.00893978523715,-0.1438064394302223,0.1269333461815383,-0.1046703979911231
1718208080477809598,-0.0103338548156034,-0.0113088291155556,0.0096273359644638,-0.1427904549693656,0.1263659267798517,-0.1057382291011304
1718208080479020889,-0.0103890973100005,-0.0110545879736961,0.01027585822034,-0.1420118821134373,0.1253841347731178,-0.1061596392681619
1718208080480192238,-0.0103630615189404,-0.0108507338052127,0.0107243009467984,-0.141778997019907,0.1246856162930201,-0.1065040456028269
1718208080481393232,-0.0103986945729423,-0.0105631002092631,0.0110795092940508,-0.1418088524590766,0.1241195731180535,-0.1064251001861067
1718208080482640880,-0.0106630718776982,-0.0106055896304819,0.011680830027235,-0.1411477204522501,0.1232122593530684,-0.1061261497338491
1718208080482648859,-0.0112195223891335,-0.0103237407528955,0.0116673687801534,-0.1420665883535781,0.1219390059577102,-0.1055562274800488
1718208080483840679,-0.0116246205804486,-0.0099174291865924,0.0117306845574615,-0.1431688160837761,0.1204512699779129,-0.1046467873671292
1718208080485106549,-0.0119752011152919,-0.0098648614648342,0.0118052881109984,-0.1434551857907034,0.1189718389631767,-0.1040727198823998
1718208080486329070,-0.0122311763746674,-0.0099177920205189,0.0120499863186836,-0.1433765941381511,0.1175427117015847,-0.1042827273691167
1718208080487587550,-0.0125066650995986,-0.0101113745486289,0.0123545614134391,-0.1427732492618824,0.1163450140596532,-0.1040532596012077
1718208080487593843,-0.0129425551413075,-0.0100861716931081,0.0121957646437378,-0.1432750274583913,0.1150546009535171,-0.1033026919677772
