%time,field.layout.data_offset,field.data0,field.data1,field.data2
1718275671400305430,0,1.4465738534927368,-1.1974797248840332,9.628581047058104
1718275671401552925,0,1.4463461637496948,-1.198408603668213,9.628499031066896
1718275671401567405,0,1.446097493171692,-1.199168086051941,9.62844181060791
1718275671402638102,0,1.4458569288253784,-1.2000679969787598,9.628366470336914
1718275671403921306,0,1.4456440210342407,-1.200920820236206,9.628292083740234
1718275671405312850,0,1.445385456085205,-1.2017778158187866,9.628223419189451
1718275671406611494,0,1.44514000415802,-1.20271635055542,9.628143310546877
1718275671406618314,0,1.444860816001892,-1.2036978006362915,9.62806224822998
1718275671407717076,0,1.4446064233779907,-1.204704999923706,9.627974510192873
1718275671408965583,0,1.4443317651748655,-1.205673098564148,9.627894401550291
1718275671410159598,0,1.4440890550613403,-1.20663321018219,9.62781047821045
1718275671411444128,0,1.4438223838806152,-1.207482099533081,9.627744674682615
1718275671411456957,0,1.4435700178146362,-1.2084388732910156,9.627662658691406
1718275671412662129,0,1.443315029144287,-1.2093594074249268,9.62758445739746
1718275671414809907,0,1.4430419206619265,-1.210262656211853,9.627511978149414
1718275671414820106,0,1.4427820444107056,-1.2111176252365112,9.62744426727295
1718275671415487192,0,1.442509412765503,-1.2121235132217407,9.627358436584473
1718275671416310688,0,1.4422179460525513,-1.2130018472671509,9.627290725708008
1718275671417562573,0,1.4419132471084597,-1.2139116525650024,9.627222061157228
1718275671419552117,0,1.4416152238845823,-1.2148617506027222,9.62714672088623
1718275671419597752,0,1.441347599029541,-1.2157878875732422,9.627070426940918
1718275671420823896,0,1.4410799741744995,-1.2166438102722168,9.627001762390137
1718275671422516751,0,1.4407565593719482,-1.217609167098999,9.626928329467772
1718275671423908813,0,1.4404659271240234,-1.2185100317001345,9.62685775756836
1718275671423916465,0,1.4401614665985107,-1.2194297313690186,9.626787185668944
1718275671425011614,0,1.4398459196090698,-1.2203572988510132,9.626716613769531
1718275671426216599,0,1.4395381212234497,-1.221219182014465,9.626653671264648
1718275671427552689,0,1.4391950368881226,-1.2220377922058103,9.62660026550293
1718275671427560609,0,1.4388575553894043,-1.2228487730026243,9.626547813415527
1718275671428698025,0,1.4385164976119995,-1.2237173318862915,9.62648868560791
1718275671429934627,0,1.4381614923477173,-1.2246417999267578,9.626423835754396
1718275671431159072,0,1.4377943277359009,-1.225573182106018,9.626360893249512
1718275671432402448,0,1.4374336004257202,-1.226540207862854,9.626291275024414
1718275671432412759,0,1.4370828866958618,-1.227386236190796,9.626235961914062
1718275671433597161,0,1.436719536781311,-1.2282689809799194,9.626177787780762
1718275671434868007,0,1.436381697654724,-1.229124903678894,9.626118659973145
1718275671436044079,0,1.436037540435791,-1.2298753261566162,9.626073837280272
1718275671437399770,0,1.4356635808944702,-1.2307308912277222,9.626020431518556
1718275671437410708,0,1.4353163242340088,-1.2315189838409424,9.625971794128418
1718275671438459561,0,1.4349268674850464,-1.2323758602142334,9.625920295715332
1718275671440011586,0,1.434505581855774,-1.2333112955093384,9.625863075256348
1718275671441233602,0,1.434120774269104,-1.2342283725738523,9.625802993774414
1718275671441255335,0,1.433696746826172,-1.2351893186569214,9.62574291229248
1718275671442520696,0,1.433303952217102,-1.236061453819275,9.625689506530762
1718275671443713085,0,1.432922601699829,-1.2369155883789062,9.625636100769045
1718275671444932160,0,1.432482361793518,-1.237776756286621,9.625591278076172
1718275671446137877,0,1.432069182395935,-1.238620638847351,9.625543594360352
1718275671447566319,0,1.431644082069397,-1.239557862281799,9.625486373901367
1718275671447579069,0,1.4312235116958618,-1.2404377460479736,9.625435829162598
1718275671448604452,0,1.4307657480239868,-1.241286277770996,9.625394821166992
1718275671449855723,0,1.4303462505340576,-1.2421879768371582,9.625340461730955
1718275671451097256,0,1.4298759698867798,-1.2431238889694214,9.625289916992188
1718275671452331825,0,1.4294192790985107,-1.244017481803894,9.625242233276367
1718275671452342322,0,1.42892324924469,-1.2450007200241089,9.625188827514648
1718275671453583907,0,1.4284520149230957,-1.2459450960159302,9.625136375427246
1718275671454844091,0,1.4279885292053225,-1.2468364238739014,9.625089645385742
1718275671456070765,0,1.4275225400924685,-1.2476277351379397,9.625056266784668
1718275671457297221,0,1.4270341396331787,-1.2485322952270508,9.625011444091797
1718275671457324531,0,1.4265495538711548,-1.2493244409561155,9.624979972839355
1718275671458497689,0,1.4260848760604858,-1.2501459121704102,9.624942779541016
1718275671459779129,0,1.4256048202514648,-1.2510110139846802,9.624900817871094
1718275671460973428,0,1.4250736236572266,-1.2518867254257202,9.624865531921388
1718275671462192651,0,1.4245593547821045,-1.252672791481018,9.624839782714844
1718275671463514638,0,1.4240354299545288,-1.2535299062728882,9.624805450439451
1718275671463528073,0,1.4235048294067385,-1.2543190717697144,9.624781608581545
1718275671464673829,0,1.4229767322540283,-1.255062222480774,9.624762535095217
1718275671465909631,0,1.4224354028701782,-1.2558789253234863,9.624735832214355
1718275671470046356,0,1.421906352043152,-1.256575584411621,9.624723434448242
1718275671471673713,0,1.4213052988052368,-1.2574249505996704,9.624701499938965
1718275671471703898,0,1.420721411705017,-1.2583038806915283,9.624672889709473
1718275671471718018,0,1.4201643466949463,-1.2590677738189695,9.62465476989746
1718275671471736035,0,1.4196072816848757,-1.259865403175354,9.624632835388184
1718275671472606975,0,1.4190200567245483,-1.2605301141738892,9.624631881713867
1718275671472632190,0,1.418449640274048,-1.2612403631210327,9.62462329864502
1718275671473743384,0,1.4178245067596436,-1.262006759643555,9.624614715576172
1718275671475021208,0,1.4172123670578003,-1.2627469301223757,9.624608039855955
1718275671476138014,0,1.416567087173462,-1.2636289596557615,9.624587059020996
1718275671477247135,0,1.4159077405929563,-1.2645004987716677,9.6245698928833
1718275671478413142,0,1.41529381275177,-1.2652831077575684,9.624557495117188
1718275671479775471,0,1.414638638496399,-1.2660579681396484,9.624551773071287
1718275671479787013,0,1.414014220237732,-1.266838788986206,9.624540328979492
1718275671480868730,0,1.4133909940719604,-1.2674833536148071,9.624547004699709
1718275671482129023,0,1.4127347469329834,-1.2681784629821775,9.624551773071287
1718275671483413311,0,1.4120360612869265,-1.2689030170440674,9.62455940246582
1718275671484603354,0,1.4113584756851196,-1.2696101665496826,9.62456512451172
1718275671484616822,0,1.410692811012268,-1.270308256149292,9.624570846557615
1718275671485755359,0,1.4099996089935305,-1.2710273265838623,9.624577522277832
1718275671487008767,0,1.409271478652954,-1.2717783451080322,9.624585151672363
1718275671488311838,0,1.4085253477096558,-1.2725296020507812,9.624594688415527
1718275671489662747,0,1.4078168869018557,-1.273335099220276,9.624591827392578
1718275671489677442,0,1.4071292877197266,-1.2739863395690918,9.624606132507324
1718275671490834653,0,1.4063727855682373,-1.274712085723877,9.62462043762207
1718275671492020414,0,1.405662178993225,-1.2754796743392944,9.62462329864502
1718275671493259514,0,1.4048926830291748,-1.2762435674667358,9.6246337890625
1718275671494472286,0,1.4041376113891602,-1.2770187854766846,9.624641418457031
1718275671494502894,0,1.4033244848251345,-1.2778290510177612,9.624651908874512
1718275671495667488,0,1.4025084972381592,-1.2785643339157104,9.624673843383787
1718275671496908267,0,1.4016611576080322,-1.2793906927108765,9.62468719482422
1718275671498127003,0,1.400826096534729,-1.2802271842956543,9.6246976852417
1718275671500076925,0,1.3999662399291992,-1.2810263633728027,9.624716758728027
1718275671500094811,0,1.3990769386291504,-1.281882882118225,9.62473201751709
1718275671501245461,0,1.3982020616531372,-1.282778024673462,9.62473964691162
1718275671502551569,0,1.3973348140716553,-1.2835187911987305,9.62476634979248
1718275671502573331,0,1.3964636325836182,-1.284275770187378,9.624792098999023
1718275671503700105,0,1.395531415939331,-1.2849888801574707,9.624832153320312
1718275671504900902,0,1.3946292400360107,-1.2857699394226074,9.624858856201172
1718275671506085791,0,1.393741011619568,-1.2863929271697998,9.624903678894045
1718275671507275727,0,1.3927936553955078,-1.2871912717819214,9.624934196472168
1718275671508594099,0,1.391856670379639,-1.287955403327942,9.624967575073242
1718275671508607209,0,1.3908898830413818,-1.2886277437210083,9.625017166137695
1718275671509726181,0,1.389918327331543,-1.2893476486206057,9.625061988830566
1718275671510957505,0,1.3888927698135376,-1.2900859117507937,9.625110626220703
1718275671512135803,0,1.3879133462905884,-1.2908309698104858,9.625151634216309
1718275671513561298,0,1.3868955373764038,-1.291540026664734,9.625204086303713
1718275671513570851,0,1.3858741521835327,-1.2922084331512451,9.625261306762695
1718275671516836921,0,1.384876012802124,-1.2929275035858154,9.6253080368042
1718275671518216663,0,1.38384211063385,-1.2935850620269775,9.625368118286133
1718275671518228658,0,1.3828471899032593,-1.2943646907806396,9.625406265258787
1718275671518240264,0,1.3818153142929075,-1.295091152191162,9.62545680999756
1718275671519290908,0,1.3807601928710938,-1.2958595752716064,9.625505447387695
1718275671521219979,0,1.3797563314437866,-1.2964969873428345,9.625563621520996
1718275671521239909,0,1.378732442855835,-1.2971774339675903,9.625617980957031
1718275671522517415,0,1.3776774406433103,-1.297905445098877,9.62567138671875
1718275671522535219,0,1.3766173124313354,-1.2987006902694702,9.625715255737305
1718275671523673324,0,1.375554084777832,-1.299424409866333,9.62576961517334
1718275671524888455,0,1.3744666576385498,-1.3001824617385864,9.62582302093506
1718275671526175193,0,1.373395323753357,-1.3009049892425537,9.62587833404541
1718275671527447899,0,1.3722902536392212,-1.301621913909912,9.62593936920166
1718275671528610427,0,1.3712061643600464,-1.302392601966858,9.625988960266112
1718275671528635333,0,1.3700945377349854,-1.3029913902282717,9.626066207885742
1718275671529825900,0,1.3690178394317627,-1.3036056756973269,9.626136779785156
1718275671531009182,0,1.3679174184799194,-1.304205298423767,9.626211166381836
1718275671532262655,0,1.3668098449707031,-1.3047813177108765,9.626291275024414
1718275671533569957,0,1.3656572103500366,-1.3054015636444092,9.626370429992676
1718275671533599277,0,1.3645347356796265,-1.3060511350631714,9.626441955566406
1718275671534662879,0,1.363345980644226,-1.3066291809082031,9.626531600952148
1718275671535884940,0,1.3622052669525146,-1.3072528839111328,9.62660789489746
1718275671537062334,0,1.3609906435012815,-1.307836890220642,9.626700401306152
1718275671538305868,0,1.3597880601882937,-1.308457374572754,9.626786231994627
1718275671539667812,0,1.3585798740386963,-1.3090450763702393,9.626876831054688
1718275671539675494,0,1.3573979139328003,-1.3095711469650269,9.626972198486328
1718275671540765958,0,1.3561999797821045,-1.310203194618225,9.627055168151855
1718275671542514871,0,1.3549774885177612,-1.3106930255889893,9.62716007232666
1718275671543842077,0,1.3537864685058594,-1.3113216161727903,9.627242088317873
1718275671543879273,0,1.3525238037109375,-1.3118988275527954,9.627341270446776
1718275671544972301,0,1.3512219190597534,-1.3125561475753784,9.627434730529783
1718275671546246550,0,1.349972367286682,-1.3132851123809814,9.62751007080078
1718275671547626593,0,1.3487308025360107,-1.3138999938964844,9.62760066986084
1718275671547635956,0,1.3474032878875732,-1.314610481262207,9.627689361572266
1718275671548654500,0,1.3461651802062988,-1.3151274919509888,9.627792358398438
1718275671549915932,0,1.344862461090088,-1.315750002861023,9.627888679504396
1718275671551200324,0,1.343614935874939,-1.3163069486618042,9.627986907958984
1718275671552503480,0,1.342389464378357,-1.316846489906311,9.628084182739258
1718275671552546855,0,1.3410959243774414,-1.3174480199813845,9.628182411193848
1718275671553660900,0,1.3398391008377075,-1.3180335760116575,9.628276824951172
1718275671555073609,0,1.3386086225509644,-1.318503737449646,9.62838363647461
