%time,field.force.x,field.force.y,field.force.z,field.torque.x,field.torque.y,field.torque.z
1718278678130883062,0.3644402180000073,1.157667006999994,11.81321112700001,0.2329240339999987,1.2369157089999991,-0.0867771109999999
1718278678130896693,0.372342218000007,1.1525350069999938,11.83742412700001,0.2346060339999987,1.2330227089999992,-0.086259111
1718278678132086312,0.3842422180000065,1.1545130069999945,11.867121127000008,0.2376910339999988,1.2278047089999993,-0.087337111
1718278678133289284,0.4002312180000068,1.1343420069999943,11.873714127000008,0.2418190339999988,1.2218057089999992,-0.0888181109999999
1718278678134580679,0.3990412180000072,1.1041750069999945,11.873374127000009,0.2471700339999987,1.2150117089999992,-0.090028111
1718278678137305105,0.3932832180000069,1.076356006999994,11.86719712700001,0.2534290339999988,1.2057357089999992,-0.0903181109999999
1718278678137335740,0.3831262180000073,1.031528006999994,11.854466127000013,0.2597070339999987,1.1936317089999993,-0.089964109
1718278678137376266,0.3559642180000065,0.981846006999994,11.84059912700001,0.2661760339999988,1.179849708999999,-0.090284109
1718278678138685113,0.315801218000007,0.9294170069999946,11.83447012700001,0.2741720339999988,1.1653377089999992,-0.0907321109999999
1718278678140071934,0.2713002180000067,0.8648260069999942,11.80009612700001,0.2822390339999988,1.1495027089999992,-0.0898601109999999
1718278678140098972,0.2307092180000067,0.8074330069999938,11.76920312700001,0.2910330339999988,1.1324627089999992,-0.086994109
1718278678141451334,0.1816842180000069,0.759983006999994,11.739540127000009,0.2990790339999988,1.114755708999999,-0.083205109
1718278678142612984,0.1457652180000069,0.725197006999994,11.700920127000009,0.3050610339999988,1.0973937089999992,-0.079962109
1718278678143870827,0.1143872180000074,0.7127120069999943,11.685840127000008,0.3091080339999988,1.0814697089999992,-0.075921111
1718278678145133610,0.095875218000007,0.7125960069999944,11.650792127000008,0.3121720339999988,1.0672667089999992,-0.070013109
1718278678145141745,0.0857352180000073,0.7319630069999945,11.63336912700001,0.3152330339999987,1.0538117089999992,-0.062634109
1718278678146380894,0.0844442180000073,0.7515620069999944,11.597915127000013,0.3171890339999988,1.0416497089999994,-0.0568521089999999
1718278678147628767,0.0740582180000068,0.7411010069999941,11.58801312700001,0.3223100339999987,1.0296137089999993,-0.0498501089999999
1718278678148888207,0.0679362180000067,0.7183100069999941,11.555063127000013,0.3279320339999988,1.0186777089999992,-0.043106109
1718278678148903673,0.0699592180000067,0.695108006999994,11.547329127000008,0.3350720339999988,1.008762708999999,-0.0351451089999999
1718278678150166741,0.0549842180000071,0.6520730069999945,11.531747127000008,0.3433190339999988,1.0003377089999994,-0.0274331109999999
1718278678151404932,0.035795218000007,0.6065040069999943,11.52170312700001,0.3519910339999988,0.9922227089999992,-0.0210461089999999
1718278678152758570,0.0206692180000067,0.5484110069999943,11.495249127000008,0.3622630339999987,0.9843207089999992,-0.0157131089999999
1718278678154104082,0.022332218000007,0.4997960069999941,11.485253127000009,0.3735000339999987,0.9782107089999992,-0.0098291089999999
1718278678154144361,0.024136218000007,0.4364860069999944,11.444871127000008,0.3847750339999988,0.9737617089999993,-0.0039361109999999
1718278678155304300,0.0516162180000071,0.4026680069999939,11.433427127000009,0.3948330339999988,0.9711127089999994,0.001164891
1718278678156648480,0.0837122180000068,0.3911820069999943,11.42023912700001,0.4031800339999988,0.9695277089999992,0.005464891
1718278678157917379,0.1163392180000069,0.3997650069999945,11.405434127000008,0.4089160339999988,0.9690657089999992,0.009222891
1718278678157929663,0.1577022180000071,0.4380170069999944,11.390240127000007,0.4130170339999988,0.9688467089999993,0.012972891
1718278678159136348,0.1782232180000068,0.4839150069999945,11.38136212700001,0.4154910339999987,0.9691367089999992,0.016319891
1718278678160434067,0.1987772180000065,0.5298830069999945,11.36296912700001,0.4179710339999987,0.9684217089999994,0.018461891
1718278678164592117,0.1853922180000072,0.5611420069999942,11.342546127000007,0.4209950339999987,0.9662497089999992,0.019399891
1718278678167027555,0.1634842180000065,0.5875070069999941,11.305920127000013,0.4244140339999988,0.9629267089999992,0.019667891
1718278678167044790,0.1289722180000069,0.6018120069999944,11.26099912700001,0.4272690339999988,0.9587697089999994,0.019658891
1718278678167101297,0.0946992180000071,0.611350006999994,11.24444912700001,0.4292000339999988,0.9556357089999992,0.018588891
1718278678167131021,0.0607922180000072,0.6211780069999941,11.217342127000007,0.4298220339999988,0.9530147089999992,0.015915891
1718278678168520038,0.0398662180000069,0.6287930069999942,11.181530127000013,0.4292990339999988,0.9511317089999992,0.012705891
1718278678168531454,0.023502218000007,0.6439670069999943,11.15986212700001,0.4273270339999988,0.9508347089999992,0.009097891
1718278678168544818,0.028819218000007,0.6522400069999945,11.159717127000013,0.4228270339999988,0.9521917089999994,0.005083891
1718278678169593476,0.0262042180000068,0.6609970069999944,11.149912127000007,0.4159330339999988,0.9545477089999992,0.000262891
1718278678170820758,0.0320852180000066,0.6747080069999942,11.139271527000009,0.4088670339999988,0.9564167089999992,-0.0050951089999999
1718278678172030553,0.025218218000007,0.6760670069999943,11.158555527000008,0.4021210339999987,0.9587087089999992,-0.0107121089999999
1718278678172044330,0.0395752180000066,0.6699900069999944,11.171697527000008,0.3954640339999987,0.9631457089999992,-0.0155191089999999
1718278678173220041,0.045714218000007,0.6591380069999938,11.16893952700001,0.3881030339999988,0.9690837089999992,-0.0205851089999999
1718278678174406280,0.0393122180000066,0.6657700069999941,11.196183577000008,0.3790040439999987,0.9735227089999992,-0.0255381089999999
1718278678175692080,0.0245042180000067,0.6677266069999943,11.23154352700001,0.3689810439999987,0.9768117089999994,-0.0299701089999999
